"","race_ethnicity","year","pain_or_disability","number_of_beneficiaries","opioid_prop","se_opioid_prop","average_mme","se_mme","average_days_covered","se_days_covered"
"55","Hispanic, all races",2017,"neither",242593,0.089,0.001,36.887,0.337,0.031,0
"56","Hispanic, all races",2017,"disability and chronic pain",659,0.536,0.019,206.665,12.766,0.189,0.01
"57","Hispanic, all races",2018,"disability only",2216,0.131,0.007,58.478,3.388,0.05,0.002
"58","Hispanic, all races",2018,"chronic pain only",10649,0.432,0.005,123.98,3.442,0.106,0.002
"59","Hispanic, all races",2018,"neither",168906,0.094,0.001,27.234,0.239,0.028,0
"60","Hispanic, all races",2018,"disability and chronic pain",428,0.528,0.024,218.675,26.989,0.171,0.012
"61","Hispanic, all races",2019,"disability only",970,0.096,0.009,43.019,3.442,0.048,0.004
"62","Hispanic, all races",2019,"chronic pain only",3219,0.372,0.009,106.81,4.745,0.102,0.003
"63","Hispanic, all races",2019,"neither",79841,0.072,0.001,24.975,0.367,0.026,0
"64","Hispanic, all races",2019,"disability and chronic pain",124,0.581,0.044,204.698,31.988,0.193,0.023
"65","AIAN_or_HPI",2016,"disability only",495,0.208,0.018,89.055,11.668,0.064,0.006
"66","AIAN_or_HPI",2016,"chronic pain only",2680,0.481,0.01,220.376,10.652,0.146,0.004
"67","AIAN_or_HPI",2016,"neither",31787,0.131,0.002,40.579,0.791,0.031,0
"68","AIAN_or_HPI",2016,"disability and chronic pain",154,0.617,0.039,453.702,80.115,0.24,0.023
"69","AIAN_or_HPI",2017,"disability only",325,0.206,0.022,130.537,18.048,0.087,0.01
"70","AIAN_or_HPI",2017,"chronic pain only",2144,0.472,0.011,195.114,10.888,0.132,0.005
"71","AIAN_or_HPI",2017,"neither",24464,0.119,0.002,34.652,0.854,0.027,0
"72","AIAN_or_HPI",2017,"disability and chronic pain",117,0.564,0.046,180.848,49.362,0.143,0.022
"73","AIAN_or_HPI",2018,"disability only",231,0.169,0.025,97.454,21.56,0.065,0.009
"74","AIAN_or_HPI",2018,"chronic pain only",1603,0.429,0.012,140.775,9.506,0.107,0.005
"75","AIAN_or_HPI",2018,"neither",19843,0.107,0.002,26.662,0.718,0.022,0
"76","AIAN_or_HPI",2018,"disability and chronic pain",81,0.568,0.055,121.803,17.555,0.107,0.016
"77","AIAN_or_HPI",2019,"disability only",107,0.168,0.036,32.716,6.148,0.027,0.006
"78","AIAN_or_HPI",2019,"chronic pain only",550,0.418,0.021,112.809,12.179,0.087,0.007
"79","AIAN_or_HPI",2019,"neither",9465,0.09,0.003,30.278,1.228,0.025,0.001
"80","AIAN_or_HPI",2019,"disability and chronic pain",27,0.556,0.096,226.25,72.343,0.169,0.046
"81","Asian, non-Hispanic",2016,"disability only",718,0.099,0.011,80.744,14.084,0.06,0.005
"82","Asian, non-Hispanic",2016,"chronic pain only",5958,0.235,0.005,110.177,3.631,0.089,0.002
"83","Asian, non-Hispanic",2016,"neither",122044,0.05,0.001,28.982,0.478,0.023,0
"84","Asian, non-Hispanic",2016,"disability and chronic pain",141,0.397,0.041,169.082,25.355,0.152,0.015
"85","Asian, non-Hispanic",2017,"disability only",581,0.077,0.011,51.463,5.628,0.059,0.006
"86","Asian, non-Hispanic",2017,"chronic pain only",4698,0.227,0.006,80.432,3.514,0.071,0.002
"87","Asian, non-Hispanic",2017,"neither",95166,0.052,0.001,24.509,0.368,0.021,0
"88","Asian, non-Hispanic",2017,"disability and chronic pain",119,0.328,0.043,206.492,40.596,0.13,0.021
"89","Asian, non-Hispanic",2018,"disability only",496,0.087,0.013,111.567,24.33,0.055,0.006
"90","Asian, non-Hispanic",2018,"chronic pain only",3725,0.223,0.007,69.06,3.427,0.063,0.002
"91","Asian, non-Hispanic",2018,"neither",70881,0.052,0.001,22.382,0.385,0.021,0
"92","Asian, non-Hispanic",2018,"disability and chronic pain",103,0.32,0.046,57.378,10.162,0.069,0.011
"93","Asian, non-Hispanic",2019,"disability only",147,0.054,0.019,23.938,3.012,0.039,0.005
"94","Asian, non-Hispanic",2019,"chronic pain only",1313,0.176,0.011,43.433,3.584,0.048,0.003
"95","Asian, non-Hispanic",2019,"neither",36106,0.037,0.001,20.608,0.502,0.021,0
"96","Asian, non-Hispanic",2019,"disability and chronic pain",12,0.25,0.125,167.236,38.353,0.351,0.06
