CRITERIA,PAIN_CAT,ICD_VERSION,ICD9_OR_10,ICD_DESC
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0010,"Pneumococcal arthritis, unspecified joint"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00111,"Pneumococcal arthritis, right shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00112,"Pneumococcal arthritis, left shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00119,"Pneumococcal arthritis, unspecified shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00121,"Pneumococcal arthritis, right elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00122,"Pneumococcal arthritis, left elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00129,"Pneumococcal arthritis, unspecified elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00131,"Pneumococcal arthritis, right wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00132,"Pneumococcal arthritis, left wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00139,"Pneumococcal arthritis, unspecified wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00141,"Pneumococcal arthritis, right hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00142,"Pneumococcal arthritis, left hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00149,"Pneumococcal arthritis, unspecified hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00151,"Pneumococcal arthritis, right hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00152,"Pneumococcal arthritis, left hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00159,"Pneumococcal arthritis, unspecified hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00161,"Pneumococcal arthritis, right knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00162,"Pneumococcal arthritis, left knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00169,"Pneumococcal arthritis, unspecified knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00171,"Pneumococcal arthritis, right ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00172,"Pneumococcal arthritis, left ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00179,"Pneumococcal arthritis, unspecified ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0018,"Pneumococcal arthritis, vertebrae"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0019,Pneumococcal polyarthritis
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0020,"Other streptococcal arthritis, unspecified joint"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00211,"Other streptococcal arthritis, right shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00212,"Other streptococcal arthritis, left shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00219,"Other streptococcal arthritis, unspecified shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00221,"Other streptococcal arthritis, right elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00222,"Other streptococcal arthritis, left elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00229,"Other streptococcal arthritis, unspecified elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00231,"Other streptococcal arthritis, right wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00232,"Other streptococcal arthritis, left wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00239,"Other streptococcal arthritis, unspecified wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00241,"Other streptococcal arthritis, right hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00242,"Other streptococcal arthritis, left hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00249,"Other streptococcal arthritis, unspecified hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00251,"Other streptococcal arthritis, right hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00252,"Other streptococcal arthritis, left hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00259,"Other streptococcal arthritis, unspecified hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00261,"Other streptococcal arthritis, right knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00262,"Other streptococcal arthritis, left knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00269,"Other streptococcal arthritis, unspecified knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00271,"Other streptococcal arthritis, right ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00272,"Other streptococcal arthritis, left ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00279,"Other streptococcal arthritis, unspecified ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0028,"Other streptococcal arthritis, vertebrae"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0029,Other streptococcal polyarthritis
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0080,"Arthritis due to other bacteria, unspecified joint"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00811,"Arthritis due to other bacteria, right shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00812,"Arthritis due to other bacteria, left shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00819,"Arthritis due to other bacteria, unspecified shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00821,"Arthritis due to other bacteria, right elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00822,"Arthritis due to other bacteria, left elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00829,"Arthritis due to other bacteria, unspecified elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00831,"Arthritis due to other bacteria, right wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00832,"Arthritis due to other bacteria, left wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00839,"Arthritis due to other bacteria, unspecified wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00841,"Arthritis due to other bacteria, right hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00842,"Arthritis due to other bacteria, left hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00849,"Arthritis due to other bacteria, unspecified hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00851,"Arthritis due to other bacteria, right hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00852,"Arthritis due to other bacteria, left hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00859,"Arthritis due to other bacteria, unspecified hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00861,"Arthritis due to other bacteria, right knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00862,"Arthritis due to other bacteria, left knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00869,"Arthritis due to other bacteria, unspecified knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00871,"Arthritis due to other bacteria, right ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00872,"Arthritis due to other bacteria, left ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00879,"Arthritis due to other bacteria, unspecified ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0088,"Arthritis due to other bacteria, vertebrae"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0089,Polyarthritis due to other bacteria
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M009,"Pyogenic arthritis, unspecified"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M01X0,Direct infection of unspecified joint in infectious and parasitic diseases classified elsewhere
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M01X11,Direct infection of right shoulder in infectious and parasitic diseases classified elsewhere
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M01X12,Direct infection of left shoulder in infectious and parasitic diseases classified elsewhere
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M01X19,Direct infection of unspecified shoulder in infectious and parasitic diseases classified elsewhere
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M01X21,Direct infection of right elbow in infectious and parasitic diseases classified elsewhere
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M01X22,Direct infection of left elbow in infectious and parasitic diseases classified elsewhere
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M01X29,Direct infection of unspecified elbow in infectious and parasitic diseases classified elsewhere
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M01X31,Direct infection of right wrist in infectious and parasitic diseases classified elsewhere
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M01X32,Direct infection of left wrist in infectious and parasitic diseases classified elsewhere
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M01X39,Direct infection of unspecified wrist in infectious and parasitic diseases classified elsewhere
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M01X41,Direct infection of right hand in infectious and parasitic diseases classified elsewhere
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M01X42,Direct infection of left hand in infectious and parasitic diseases classified elsewhere
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M01X49,Direct infection of unspecified hand in infectious and parasitic diseases classified elsewhere
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M01X51,Direct infection of right hip in infectious and parasitic diseases classified elsewhere
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M01X52,Direct infection of left hip in infectious and parasitic diseases classified elsewhere
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M01X59,Direct infection of unspecified hip in infectious and parasitic diseases classified elsewhere
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M01X61,Direct infection of right knee in infectious and parasitic diseases classified elsewhere
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M01X62,Direct infection of left knee in infectious and parasitic diseases classified elsewhere
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M01X69,Direct infection of unspecified knee in infectious and parasitic diseases classified elsewhere
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M01X71,Direct infection of right ankle and foot in infectious and parasitic diseases classified elsewhere
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M01X72,Direct infection of left ankle and foot in infectious and parasitic diseases classified elsewhere
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M01X79,Direct infection of unspecified ankle and foot in infectious and parasitic diseases classified elsewhere
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M01X8,Direct infection of vertebrae in infectious and parasitic diseases classified elsewhere
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M01X9,Direct infection of multiple joints in infectious and parasitic diseases classified elsewhere
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0200,"Arthropathy following intestinal bypass, unspecified site"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02011,"Arthropathy following intestinal bypass, right shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02012,"Arthropathy following intestinal bypass, left shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02019,"Arthropathy following intestinal bypass, unspecified shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02021,"Arthropathy following intestinal bypass, right elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02022,"Arthropathy following intestinal bypass, left elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02029,"Arthropathy following intestinal bypass, unspecified elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02031,"Arthropathy following intestinal bypass, right wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02032,"Arthropathy following intestinal bypass, left wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02039,"Arthropathy following intestinal bypass, unspecified wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02041,"Arthropathy following intestinal bypass, right hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02042,"Arthropathy following intestinal bypass, left hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02049,"Arthropathy following intestinal bypass, unspecified hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02051,"Arthropathy following intestinal bypass, right hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02052,"Arthropathy following intestinal bypass, left hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02059,"Arthropathy following intestinal bypass, unspecified hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02061,"Arthropathy following intestinal bypass, right knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02062,"Arthropathy following intestinal bypass, left knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02069,"Arthropathy following intestinal bypass, unspecified knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02071,"Arthropathy following intestinal bypass, right ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02072,"Arthropathy following intestinal bypass, left ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02079,"Arthropathy following intestinal bypass, unspecified ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0208,"Arthropathy following intestinal bypass, vertebrae"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0209,"Arthropathy following intestinal bypass, multiple sites"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0210,"Postdysenteric arthropathy, unspecified site"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02111,"Postdysenteric arthropathy, right shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02112,"Postdysenteric arthropathy, left shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02119,"Postdysenteric arthropathy, unspecified shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02121,"Postdysenteric arthropathy, right elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02122,"Postdysenteric arthropathy, left elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02129,"Postdysenteric arthropathy, unspecified elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02131,"Postdysenteric arthropathy, right wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02132,"Postdysenteric arthropathy, left wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02139,"Postdysenteric arthropathy, unspecified wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02141,"Postdysenteric arthropathy, right hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02142,"Postdysenteric arthropathy, left hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02149,"Postdysenteric arthropathy, unspecified hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02151,"Postdysenteric arthropathy, right hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02152,"Postdysenteric arthropathy, left hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02159,"Postdysenteric arthropathy, unspecified hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02161,"Postdysenteric arthropathy, right knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02162,"Postdysenteric arthropathy, left knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02169,"Postdysenteric arthropathy, unspecified knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02171,"Postdysenteric arthropathy, right ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02172,"Postdysenteric arthropathy, left ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02179,"Postdysenteric arthropathy, unspecified ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0218,"Postdysenteric arthropathy, vertebrae"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0219,"Postdysenteric arthropathy, multiple sites"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0220,"Postimmunization arthropathy, unspecified site"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02211,"Postimmunization arthropathy, right shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02212,"Postimmunization arthropathy, left shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02219,"Postimmunization arthropathy, unspecified shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02221,"Postimmunization arthropathy, right elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02222,"Postimmunization arthropathy, left elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02229,"Postimmunization arthropathy, unspecified elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02231,"Postimmunization arthropathy, right wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02232,"Postimmunization arthropathy, left wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02239,"Postimmunization arthropathy, unspecified wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02241,"Postimmunization arthropathy, right hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02242,"Postimmunization arthropathy, left hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02249,"Postimmunization arthropathy, unspecified hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02251,"Postimmunization arthropathy, right hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02252,"Postimmunization arthropathy, left hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02259,"Postimmunization arthropathy, unspecified hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02261,"Postimmunization arthropathy, right knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02262,"Postimmunization arthropathy, left knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02269,"Postimmunization arthropathy, unspecified knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02271,"Postimmunization arthropathy, right ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02272,"Postimmunization arthropathy, left ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02279,"Postimmunization arthropathy, unspecified ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0228,"Postimmunization arthropathy, vertebrae"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0229,"Postimmunization arthropathy, multiple sites"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0230,"Reiter's disease, unspecified site"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02311,"Reiter's disease, right shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02312,"Reiter's disease, left shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02319,"Reiter's disease, unspecified shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02321,"Reiter's disease, right elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02322,"Reiter's disease, left elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02329,"Reiter's disease, unspecified elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02331,"Reiter's disease, right wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02332,"Reiter's disease, left wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02339,"Reiter's disease, unspecified wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02341,"Reiter's disease, right hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02342,"Reiter's disease, left hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02349,"Reiter's disease, unspecified hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02351,"Reiter's disease, right hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02352,"Reiter's disease, left hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02359,"Reiter's disease, unspecified hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02361,"Reiter's disease, right knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02362,"Reiter's disease, left knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02369,"Reiter's disease, unspecified knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02371,"Reiter's disease, right ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M02372,"Reiter's disease, left ankle and foot"
